A,B,pvalue
AAPL,AMZN,0.6666185909459708
AAPL,GOOGL,0.8036230496067054
AAPL,NVDA,0.14290355947011624
AMD,MSFT,0.048566442806391226
AMD,NVDA,0.4297412817571557
AMZN,GOOGL,0.11622566373204202
AMZN,MSFT,0.69237162120391
BAC,GS,0.9118352362311236
BAC,JPM,0.8223339407745641
BAC,WFC,0.8122751864054301
GOOGL,META,0.0374386330502146
GOOGL,MSFT,0.6267510261682138
GOOGL,NVDA,0.38101505239479794
GS,JPM,0.04957822798992409
GS,WFC,0.19282320861917485
JPM,WFC,0.9296659239287868
KO,PEP,0.08404984992180187
MA,V,0.04217030739884153
MSFT,NVDA,0.15977382777121352
